velocity, maxwell_300, maxwell_600, maxwell_1500
velocity, Maxwell distribution for 300 m/s velocity, Maxwell distribution for 600 m/s velocity, Maxwell distribution for 1500 m/s velocity
m/s, units? , units?, units?
1428, 1.48596448655e-07, 3.73814416503e-05, 0.000486476201197
1430, 1.43626385332e-07, 3.68024538334e-05, 0.000484260768854
1432, 1.38814857932e-07, 3.62313584964e-05, 0.000482048571804
1434, 1.34157081488e-07, 3.56680671877e-05, 0.000479839663268
1436, 1.29648406162e-07, 3.51124921203e-05, 0.000477634095993
1438, 1.25284313737e-07, 3.45645461729e-05, 0.000475431922247
1440, 1.21060414186e-07, 3.40241428896e-05, 0.00047323319382
1442, 1.16972442325e-07, 3.34911964809e-05, 0.000471037962026
1444, 1.1301625454e-07, 3.29656218236e-05, 0.0004688462777
1446, 1.09187825599e-07, 3.24473344612e-05, 0.0004666581912
1448, 1.05483245525e-07, 3.19362506037e-05, 0.000464473752408
1450, 1.0189871656e-07, 3.14322871276e-05, 0.000462293010727
1452, 9.84305501857e-08, 3.09353615757e-05, 0.000460116015084
1454, 9.50751642256e-08, 3.04453921571e-05, 0.000457942813929
1456, 9.18290800117e-08, 2.99622977461e-05, 0.000455773455237
1458, 8.86889196198e-08, 2.94859978824e-05, 0.000453607986504
1460, 8.56514031714e-08, 2.90164127701e-05, 0.000451446454753
1462, 8.27133462013e-08, 2.85534632771e-05, 0.000449288906528
1464, 7.98716570884e-08, 2.80970709342e-05, 0.000447135387901
1466, 7.71233345492e-08, 2.76471579345e-05, 0.000444985944468
1468, 7.44654651924e-08, 2.7203647132e-05, 0.00044284062135
1470, 7.18952211335e-08, 2.67664620408e-05, 0.000440699463195
1472, 6.94098576677e-08, 2.63355268338e-05, 0.000438562514176
1474, 6.70067110009e-08, 2.59107663413e-05, 0.000436429817996
1476, 6.46831960355e-08, 2.54921060501e-05, 0.000434301417882
1478, 6.24368042127e-08, 2.50794721016e-05, 0.000432177356592
1480, 6.02651014074e-08, 2.46727912905e-05, 0.000430057676412
