velocity, planck_3000, planck_4000, planck_5000
3.54e-06, 74433208726.4, 1.21476981617e+11, 1.7068329302e+11
3.55e-06, 73769528270.0, 1.20314750114e+11, 1.68987544419e+11
3.56e-06, 73113049671.1, 1.1916622582e+11, 1.67312662598e+11
3.57e-06, 72463682240.6, 1.18031217788e+11, 1.6565834248e+11
3.58e-06, 71821336563.9, 1.16909538117e+11, 1.64024284133e+11
3.59e-06, 71185924481.8, 1.15801001901e+11, 1.62410192677e+11
3.6e-06, 70557359071.1, 1.14705427172e+11, 1.60815778182e+11
3.61e-06, 69935554626.9, 1.13622634848e+11, 1.5924075558e+11
3.62e-06, 69320426643.2, 1.12552448683e+11, 1.5768484457e+11
3.63e-06, 68711891795.6, 1.11494695218e+11, 1.56147769525e+11
3.64e-06, 68109867923.3, 1.10449203727e+11, 1.54629259413e+11
3.65e-06, 67514274011.5, 1.09415806175e+11, 1.53129047699e+11
3.66e-06, 66925030174.0, 1.08394337166e+11, 1.5164687227e+11
3.67e-06, 66342057637.0, 1.07384633898e+11, 1.50182475346e+11
3.68e-06, 65765278721.3, 1.06386536117e+11, 1.48735603405e+11
3.69e-06, 65194616826.8, 1.05399886073e+11, 1.47306007096e+11
3.7e-06, 64629996415.6, 1.04424528478e+11, 1.45893441169e+11
3.71e-06, 64071342996.7, 1.03460310457e+11, 1.44497664393e+11
3.72e-06, 63518583109.6, 1.02507081514e+11, 1.43118439484e+11
3.73e-06, 62971644309.6, 1.01564693483e+11, 1.41755533034e+11
3.74e-06, 62430455151.9, 1.00633000493e+11, 1.40408715434e+11
3.75e-06, 61894945177.1, 99711858924.7, 1.39077760811e+11
3.76e-06, 61365044896.2, 98801127374.5, 1.37762446952e+11
3.77e-06, 60840685776.2, 97900666613.2, 1.36462555244e+11
3.78e-06, 60321800225.8, 97010339550.6, 1.35177870603e+11
3.79e-06, 59808321581.3, 96130011197.6, 1.3390818141e+11
3.8e-06, 59300184092.8, 95259548630.4, 1.32653279451e+11
3.81e-06, 58797322910.5, 94398820955.2, 1.31412959853e+11
3.82e-06, 58299674071.3, 93547699272.9, 1.30187021023e+11
3.83e-06, 57807174485.8, 92706056645.6, 1.28975264588e+11
3.84e-06, 57319761924.9, 91873768062.6, 1.27777495341e+11
